Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
298,0.8300000000000001,0.41500000000000004,0.41500000000000004,0.4596762148972042,0.05563440096314942,8.262445662022678
298,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.4645203736132345,0.05543014047788975,8.38028497868456
298,0.85,0.425,0.425,0.46937350589172205,0.055218631648295706,8.500274126336649
298,0.86,0.43,0.43,0.47423571452492636,0.05500015913938134,8.62244258826813
298,0.87,0.435,0.435,0.47910708951680214,0.054774997778176626,8.746820793257745
298,0.88,0.44,0.44,0.48398770862325485,0.05454341299920447,8.873440109629993
298,0.89,0.445,0.445,0.4888776378613342,0.054305661266786355,9.002332840762856
298,0.9,0.45,0.45,0.49377693198962497,0.05406199047538777,9.13353222194846
298,0.91,0.455,0.455,0.4986856349619509,0.053812640329144935,9.267072418519904
298,0.92,0.46,0.46,0.5036037803563237,0.053557842701673006,9.40298852516314
298,0.93,0.465,0.465,0.5085313917809401,0.053297821977194085,9.54131656634184
298,0.9400000000000001,0.47000000000000003,0.47000000000000003,0.5134684832588883,0.053032795373973735,9.682093497769438
298,0.9500000000000001,0.47500000000000003,0.47500000000000003,0.5184150595931015,0.05276297325100662,9.825357208868269
298,0.9600000000000001,0.48000000000000004,0.48000000000000004,0.5233711167129825,0.05248855939884081,9.971146526161679
298,0.97,0.485,0.485,0.5283366420040174,0.052209751315387465,10.11950121754945
298,0.98,0.49,0.49,0.5333116146216009,0.05192674046751272,10.270461997422316
298,0.99,0.495,0.495,0.5382960057901972,0.05163971253917555,10.424070532573715
298,1.0,0.5,0.5,0.5432897790888916,0.05134884766682388,10.580369448872895
313,0.01,0.005,0.005,0.0053489049715066544,0.001446688989951616,3.697342696777935
313,0.02,0.01,0.01,0.009237839058157157,0.00253294691542122,3.6470717178930445
313,0.03,0.015,0.015,0.014883840380874728,0.0038981281324582686,3.8182019356784362
313,0.04,0.02,0.02,0.018622267430668207,0.0046615174186597046,3.9948938850093465
313,0.05,0.025,0.025,0.022199034344096376,0.0050417432379808655,4.403047377911835
313,0.060000000000000005,0.030000000000000002,0.030000000000000002,0.02828433751955905,0.0060210785211778865,4.69755334033177
313,0.06999999999999999,0.034999999999999996,0.034999999999999996,0.03215864525073144,0.006475335090087195,4.966329124798761
313,0.08,0.04,0.04,0.037884159579446644,0.0073795797097995506,5.133647317223121
313,0.09,0.045,0.045,0.043323482313873986,0.008197310614806417,5.285084871082086
313,0.09999999999999999,0.049999999999999996,0.049999999999999996,0.048936907666677756,0.009169973415331345,5.336646623736093
313,0.11,0.055,0.055,0.053658537639887316,0.009979956217745431,5.376630565219984
313,0.12,0.06,0.06,0.05712015088207999,0.010551206399340068,5.41361326091134
313,0.13,0.065,0.065,0.06235327002477674,0.011345982431004821,5.495625469539408
313,0.14,0.07,0.07,0.06700490943049617,0.012031770518611944,5.568998288892419
313,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07176355508557539,0.012764741839428275,5.622013824353978
313,0.16,0.08,0.08,0.07566468426457733,0.013293632942607063,5.691798817617906
313,0.17,0.085,0.085,0.0809949290607966,0.014056007166598466,5.762299926345104
313,0.18000000000000002,0.09000000000000001,0.09000000000000001,0.08436322096370748,0.014416965579243846,5.851662785764398
313,0.19,0.095,0.095,0.08895151583804238,0.01499204321859338,5.933248359884878
313,0.2,0.1,0.1,0.09401459499140426,0.015612594828149591,6.021714905577095
313,0.21000000000000002,0.10500000000000001,0.10500000000000001,0.09837456011170996,0.016145125435158746,6.09314312897704
313,0.22,0.11,0.11,0.10220990609932767,0.01654874125649802,6.176294892470688
313,0.23,0.115,0.115,0.10601658399869705,0.016905294194877664,6.271206095355636
313,0.24000000000000002,0.12000000000000001,0.12000000000000001,0.1098002736381415,0.017217783577437435,6.377143326509587
313,0.25,0.125,0.125,0.11519255366887894,0.017749897509059524,6.489758806217603
313,0.26,0.13,0.13,0.11729447798048932,0.017760120396642497,6.604374033560242
313,0.27,0.135,0.135,0.12318295104739248,0.018294149498286914,6.733461484991553
313,0.28,0.14,0.14,0.12698090918453506,0.01850469980746529,6.862089658612434
313,0.29000000000000004,0.14500000000000002,0.14500000000000002,0.13077081790129547,0.01868204704220887,6.999812044463935
313,0.3,0.15,0.15,0.13455577635636534,0.018828319031905856,7.146457213113476
313,0.31,0.155,0.155,0.1383385709950438,0.018945523933838873,7.30191318425115
313,0.32,0.16,0.16,0.1421217052084763,0.01903555170257568,7.466119576100648
313,0.33,0.165,0.165,0.14590742628585907,0.019100177477403286,7.639061284036588
313,0.34,0.17,0.17,0.14969774974781697,0.019141066232402595,7.8207633749474175
313,0.35000000000000003,0.17500000000000002,0.17500000000000002,0.15349448121148723,0.019159778205148296,8.01128695582931
313,0.36000000000000004,0.18000000000000002,0.18000000000000002,0.15729923597105674,0.019157774750428645,8.210725829080815
313,0.37,0.185,0.185,0.1611134564913672,0.019136424364013742,8.419203787847788
313,0.38,0.19,0.19,0.16493842801349656,0.019097008695728432,8.636872435963731
313,0.39,0.195,0.195,0.16877529246468786,0.0190407284265977,8.863909441034211
313,0.4,0.2,0.2,0.17262506085385204,0.01896870892610484,9.100517147810967
